case_id,fit_max,smooth_points,confirm_points,slope_GPa,proof_status,proof_GPa,proof_strain,averaged_peak_GPa
hf16,0.025,11,5,137.11215272927402,found,4.60651437599026,0.03565156061311729,5.5490695573797915
hf16,0.025,21,1,137.11215272927402,found,4.637743848317109,0.035879326509175476,5.531268717999593
hf16,0.025,21,3,137.11215272927402,found,4.637743848317109,0.035879326509175476,5.531268717999593
hf16,0.025,21,5,137.11215272927402,found,4.637743848317109,0.035879326509175476,5.531268717999593
hf16,0.025,31,1,137.11215272927402,found,4.639687898705314,0.03589350505097142,5.524788027609976
hf16,0.025,31,3,137.11215272927402,found,4.639687898705314,0.03589350505097142,5.524788027609976
hf16,0.025,31,5,137.11215272927402,found,4.639687898705314,0.03589350505097142,5.524788027609976
hf16,0.032,1,1,134.3605588677925,found,4.503763261235023,0.03538110074402783,5.64690051427443
hf16,0.032,1,3,134.3605588677925,found,4.756438518785153,0.03726167685713225,5.64690051427443
hf16,0.032,1,5,134.3605588677925,found,4.92196020549417,0.038493598546829044,5.64690051427443
hf16,0.032,11,1,134.3605588677925,found,4.770771872579588,0.037368355140664396,5.5490695573797915
hf16,0.032,11,3,134.3605588677925,found,4.797111249456942,0.037564390175791565,5.5490695573797915
hf16,0.032,11,5,134.3605588677925,found,4.893933926329823,0.038285008470987494,5.5490695573797915
hf16,0.032,21,1,134.3605588677925,found,4.832385075135421,0.037826921278488065,5.531268717999593
hf16,0.032,21,3,134.3605588677925,found,4.832385075135421,0.037826921278488065,5.531268717999593
hf16,0.032,21,5,134.3605588677925,found,4.832385075135421,0.037826921278488065,5.531268717999593
hf16,0.032,31,1,134.3605588677925,found,4.8173809031864945,0.03771525032329585,5.524788027609976
hf16,0.032,31,3,134.3605588677925,found,4.8173809031864945,0.03771525032329585,5.524788027609976
hf16,0.032,31,5,134.3605588677925,found,4.8173809031864945,0.03771525032329585,5.524788027609976
hf12,0.01,1,1,139.40331422738913,found,4.354436322685466,0.03356646281022012,5.80298557484108
hf12,0.01,1,3,139.40331422738913,found,4.748864817362751,0.03639586824339303,5.80298557484108
hf12,0.01,1,5,139.40331422738913,found,4.748864817362751,0.03639586824339303,5.80298557484108
hf12,0.01,11,1,139.40331422738913,found,4.685005021571651,0.03593777443016464,5.700291414004627
hf12,0.01,11,3,139.40331422738913,found,4.751532630218364,0.03641500561376618,5.700291414004627
hf12,0.01,11,5,139.40331422738913,found,4.751532630218364,0.03641500561376618,5.700291414004627
hf12,0.01,21,1,139.40331422738913,found,4.702138193298347,0.03606067804850149,5.674487327291466
hf12,0.01,21,3,139.40331422738913,found,4.702138193298347,0.03606067804850149,5.674487327291466
hf12,0.01,21,5,139.40331422738913,found,4.702138193298347,0.03606067804850149,5.674487327291466
hf12,0.01,31,1,139.40331422738913,found,4.685423919422295,0.035940779364824656,5.66332908461307
hf12,0.01,31,3,139.40331422738913,found,4.685423919422295,0.035940779364824656,5.66332908461307
hf12,0.01,31,5,139.40331422738913,found,4.685423919422295,0.035940779364824656,5.66332908461307
hf12,0.015,1,1,139.14446544254437,found,4.348260970974271,0.033569596846141844,5.80298557484108
hf12,0.015,1,3,139.14446544254437,found,4.743557647050972,0.036410505212992605,5.80298557484108
hf12,0.015,1,5,139.14446544254437,found,4.843622943313249,0.037129652007254405,5.80298557484108
hf12,0.015,11,1,139.14446544254437,found,4.691441194459627,0.036035955981547504,5.700291414004627
hf12,0.015,11,3,139.14446544254437,found,4.750897396354154,0.036463254341603926,5.700291414004627
hf12,0.015,11,5,139.14446544254437,found,4.750897396354154,0.036463254341603926,5.700291414004627
hf12,0.015,21,1,139.14446544254437,found,4.710839885021112,0.03617537001069906,5.674487327291466
hf12,0.015,21,3,139.14446544254437,found,4.710839885021112,0.03617537001069906,5.674487327291466
hf12,0.015,21,5,139.14446544254437,found,4.710839885021112,0.03617537001069906,5.674487327291466
hf12,0.015,31,1,139.14446544254437,found,4.710074630148415,0.03616987029592231,5.66332908461307
hf12,0.015,31,3,139.14446544254437,found,4.710074630148415,0.03616987029592231,5.66332908461307
hf12,0.015,31,5,139.14446544254437,found,4.710074630148415,0.03616987029592231,5.66332908461307
hf12,0.02,1,1,138.98147498367473,found,4.344842781450729,0.03357133160219381,5.80298557484108
hf12,0.02,1,3,138.98147498367473,found,4.740869930862768,0.03642082754730849,5.80298557484108
